MUNICIPALIDAD,DEPARTAMENTO,ZONA GEOGRAFICA,POBLACION,PIA,PIM,AVANCE %,DEVENGADO
020701-300136: MUNICIPALIDAD PROVINCIAL DE CARLOS FERMIN FITZCARRALD,ANCASH,PROVINCIA,"18,496",0,"509,346",86.00,"437,973"
080914-301884: MUNICIPALIDAD DISTRITAL DE MEGANTONI,CUSCO ,DISTRITO,"7,499",0,"2,237,963",86.00,"1,925,530"
211301-301694: MUNICIPALIDAD PROVINCIAL DE YUNGUYO,PUNO,PROVINCIA,"37,116","62,500","597,972",85.70,"512,346"
010706-300083: MUNICIPALIDAD DISTRITAL DE LONYA GRANDE,AMAZONAS,DISTRITO,"11,300",0,"984,244",85.50,"841,956"
150516-301326: MUNICIPALIDAD DISTRITAL DE ZUÑIGA,LIMA,DISTRITO,"1,339","60,000","1,229,823",85.30,"1,048,624"
130810-301185: MUNICIPALIDAD DISTRITAL DE PIAS,LA LIBERTAD,DISTRITO,"1,902",0,"1,086,401",83.90,"911,805"
200404-301559: MUNICIPALIDAD DISTRITAL DE LA MATANZA,PIURA,DISTRITO,"13,997","37,000","816,457",83.90,"684,676"
211208-301692: MUNICIPALIDAD DISTRITAL DE YANAHUAYA,PUNO,DISTRITO,"2,127","8,000","1,058,298",83.60,"884,251"
150136-301285: MUNICIPALIDAD DISTRITAL DE SAN MIGUEL,LIMA,DISTRITO,"173,309","156,360","30,300",83.50,"25,300"
180102-301482: MUNICIPALIDAD DISTRITAL DE CARUMAS,MOQUEGUA,DISTRITO,"1,915",0,"1,012,661",82.20,"832,160"
210603-301647: MUNICIPALIDAD DISTRITAL DE HUATASANI,PUNO,DISTRITO,"3,140","313,652","1,010,251",81.40,"822,093"
090717-300883: MUNICIPALIDAD DISTRITAL DE SURCUBAMBA,HUANCAVELICA,DISTRITO,"5,094","799,074","1,409,490",81.00,"1,141,698"
210407-301639: MUNICIPALIDAD DISTRITAL DE ZEPITA,PUNO,DISTRITO,"17,402","92,958","641,552",80.30,"515,106"
040107-300337: MUNICIPALIDAD DISTRITAL DE JACOBO HUNTER,AREQUIPA,DISTRITO,"51,848","2,500","931,320",79.70,"742,429"
150505-301315: MUNICIPALIDAD DISTRITAL DE CHILCA,LIMA,DISTRITO,"23,568",0,"4,142,740",79.60,"3,296,754"
210701-301653: MUNICIPALIDAD PROVINCIAL DE LAMPA,PUNO,PROVINCIA,"42,549","1,740,719","2,190,939",77.60,"1,700,520"
120305-301050: MUNICIPALIDAD DISTRITAL DE SAN RAMON,JUNIN,DISTRITO,"29,425","51,414","1,898,529",76.60,"1,454,323"
030216-300275: MUNICIPALIDAD DISTRITAL DE TALAVERA,APURIMAC,DISTRITO,"19,901","1,300,000","1,861,072",75.30,"1,400,789"
230102-301779: MUNICIPALIDAD DISTRITAL DE ALTO DE LA ALIANZA,TACNA,DISTRITO,"35,258",0,"2,436,060",74.70,"1,819,757"
